,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
114,00115,7.81,0.15,K239D,86.72608,96.83686,308.77416,11.58715,0.1926606,0.26850458,2.379587,2.379926,2.4e-05,0.179722,9e-05,0.217757,0.00013,32.49888,-41.896953,7.81,71
115,00116,7.85,0.15,K239D,205.31511,94.18302,63.6903,3.56403,0.1406004,0.21406967,2.7675743,2.768441,3.9e-07,0.174821,7.7e-06,0.0478,1.3e-06,63.301256,-68.878818,7.85,71
116,00117,8.2,0.15,K239D,93.23949,51.99414,348.63555,14.92679,0.0234609,0.1906401,2.9899221,2.991382,4.4e-05,0.030922,0.0002,0.263696,5.4e-06,54.128097,-62.196047,8.2,66
117,00118,8.97,0.15,K239D,5.19935,32.9134,47.63735,7.74812,0.1635995,0.25905522,2.4371063,2.437923,3.7e-07,0.167332,2.3e-05,0.12308,2.5e-05,39.844627,-45.754932,8.97,66
118,00119,8.42,0.15,K239D,11.42091,171.16234,203.63034,5.78802,0.0821271,0.23746124,2.5827016,2.581357,1.9e-07,0.057325,0.00044,0.110137,0.00029,49.686125,-48.187409,8.42,70
119,00120,7.86,0.15,K239D,157.74504,236.57097,341.13412,6.95054,0.0500961,0.17847676,3.1242679,3.117059,3.9e-06,0.086293,1.1e-05,0.13244,2.8e-06,105.086426,-83.62512,7.86,68
120,00121,7.48,0.15,K239D,105.29369,296.92658,72.87617,7.56694,0.1256753,0.15357301,3.4534999,3.45052,0.0002,0.091504,0.00025,0.113968,1e-05,168.152378,-147.281968,7.48,77
121,00122,7.73,0.15,K239D,249.08909,318.65381,178.09371,1.64336,0.0275566,0.16952829,3.2332647,3.21996,5.1e-07,0.059856,3.2e-06,0.032581,3.6e-07,297.092496,-88.535045,7.73,78
122,00123,9.04,0.15,K239D,317.22508,124.96775,307.68377,6.41021,0.1210537,0.2226138,2.6962986,2.695057,1.4e-06,0.110697,0.00065,0.127383,4.3e-05,53.737559,-56.109222,9.04,59
123,00124,8.12,0.15,K239D,223.84891,61.98817,187.91163,2.96382,0.078168,0.23126114,2.6286591,2.629898,5.5e-07,0.109802,0.00046,0.05694,0.0004,53.902892,-53.749979,8.12,77
124,00125,8.99,0.15,K239D,150.96698,109.95524,168.95087,4.66508,0.0807227,0.21696263,2.7429176,2.743257,1.2e-06,0.085828,0.0001,0.077683,0.00011,59.504455,-58.78488,8.99,73
